hrr,coef_m,pij_diff_cf,health_cf,health_base,n_cases,corr_fe_qual,fe_sd,fe_range,qual_sd,corr_realloc_qual,realloc_to_highq,realloc_to_lowq,fe_mean_highqual,fe_mean_lowqual,n_specs,eta
244,1.07054,.3564201,-.0068367,.900971,2519,.00841,1.454196,7.20916,.0425287,-.1798006,-225.8828,225.8828,.8277406,1.030251,65,5
245,.1680817,.3512426,-.0016428,.8929504,3393,.2996401,1.212111,5.742219,.0417002,-.0320142,-248.6145,248.6145,.5684562,.0576048,64,5
246,.50803503,.341166,-.0002186,.8843623,3334,.1243752,3.734084,16.40311,.0346561,-.010827,45.29524,-45.29524,-.3851946,-.6161681,59,5
248,.6013375,.2998299,-.0028336,.9217636,804,-.1286981,.9957306,3.701463,.040495,-.0650158,-77.95853,77.95853,.2222608,.4726169,27,5
249,.98380428,.1443848,.00058,.9187505,1561,.439276,3.57037,15.92118,.0383921,.0885004,12.46873,-12.46873,-1.466476,-4.467141,18,5
250,.31383973,.2217744,-.0040056,.90024,1224,.083337,1.082948,3.814565,.0239976,-.2632802,-140.6165,140.6165,-.3235788,-.7597229,,5
251,4.355e-22,.2874039,.0004113,.8973728,5801,.1925965,.7542137,2.876205,.0364479,.0266878,78.81209,-78.8121,-1.705029,-1.731046,52,5
253,.52239139,.3644032,-.0006387,.9011839,793,.0735933,3.107593,15.05739,.0223927,-.0839961,-18.33555,18.33555,.8181385,-.5400334,21,5
254,5.536e-22,.1099499,.0001141,.9069703,352,.3662395,3.926878,14.72117,.0251051,.0352109,.8132149,-.8132123,.3301153,-1.728689,13,5
256,0,.3218758,-.0038879,.9037345,1892,.2645429,1.189584,4.487723,.0313318,-.1657704,-213.1243,213.1242,.7022424,.147373,18,5
257,.56753833,.2687911,-.0013283,.8966276,835,-.08317,3.609293,16.01006,.0388891,-.0326496,109.2305,-109.2305,-1.746351,-.2348205,16,5
258,0,.4015594,-.0132017,.8853428,1329,.1853241,3.321098,14.32756,.0339178,-.2364558,-393.859,393.8589,-.5246845,-1.730237,17,5
259,.85588321,.4945597,-.0344118,.8979254,2437,.2623554,.7791185,3.175219,.0503174,-.2511216,-832.1739,832.1739,-1.018051,-1.386439,32,5
260,.21335832,.1134847,-.0014347,.9095367,412,.6069707,4.216145,15.40898,.0355145,-.1927299,-10.12091,10.12091,.8991204,-2.210535,,5
261,1.4982328,.2166972,.0011422,.8941946,576,-.1375098,3.470835,15.82103,.0366999,.0482956,68.39098,-68.39098,-1.238636,-.0326884,17,5
262,.69339795,.2089412,-.0039412,.9023406,1752,.2048499,1.311498,5.123978,.0440787,-.2288599,-93.06654,93.06654,-.1954501,-.6189502,22,5
263,7.77e-214,.1512581,-.0040967,.9047073,732,.2031402,2.198838,7.478742,.0550837,-.1776916,-56.48956,56.48956,2.693474,2.70974,16,5
264,5.583e-33,.2424011,-.0034871,.8767627,2777,.1476873,3.678041,15.39702,.030988,-.1866812,-234.4097,234.4097,-1.954652,-2.624348,31,5
267,.02852749,.3672003,-.0081732,.8924154,2500,.0881203,.9853009,3.665488,.037969,-.1144974,150.0437,-150.0437,-.432591,-.3359258,27,5
268,.00007434,.4334425,-.0035815,.8972253,12506,.3294697,.9620361,3.96867,.0471635,-.0965566,-701.1259,701.1259,.3121628,-.386978,46,5
270,.65802354,.4708319,-.0018357,.9062175,3274,.5040345,.8236569,3.835127,.0473316,-.0246093,-361.8922,361.8922,.0944118,-.2334618,26,5
